Gene stable ID version	Gene name	Mouse gene name	Mouse gene stable ID	Mouse homology type
ENSG00000114738.13	MAPKAPK3	Mapkapk3	ENSMUSG00000032577	ortholog_one2one
ENSG00000114904.15	NEK4	Nek4	ENSMUSG00000021918	ortholog_one2one
ENSG00000163788.16	SNRK	Snrk	ENSMUSG00000038145	ortholog_one2one
ENSG00000117676.16	RPS6KA1	Rps6ka1	ENSMUSG00000003644	ortholog_one2one
ENSG00000065243.22	PKN2	Pkn2	ENSMUSG00000004591	ortholog_one2one
ENSG00000163482.14	STK36	Stk36	ENSMUSG00000033276	ortholog_one2one
ENSG00000071909.20	MYO3B	Myo3b	ENSMUSG00000042064	ortholog_one2one
ENSG00000143674.13	MAP3K21	Map3k21	ENSMUSG00000031853	ortholog_one2one
ENSG00000079277.24	MKNK1	Mknk1	ENSMUSG00000028708	ortholog_one2one
ENSG00000117266.18	CDK18	Cdk18	ENSMUSG00000026437	ortholog_one2one
ENSG00000115661.16	STK16	Stk16	ENSMUSG00000026201	ortholog_one2one
ENSG00000138395.17	CDK15	Cdk15	ENSMUSG00000026023	ortholog_one2one
ENSG00000176444.21	CLK2	Clk2	ENSMUSG00000068917	ortholog_one2one
ENSG00000008118.12	CAMK1G	Camk1g	ENSMUSG00000016179	ortholog_one2one
ENSG00000158828.10	PINK1	Pink1	ENSMUSG00000028756	ortholog_one2one
ENSG00000116141.19	MARK1	Mark1	ENSMUSG00000026620	ortholog_one2one
ENSG00000134318.18	ROCK2	Rock2	ENSMUSG00000020580	ortholog_one2one
ENSG00000169679.17	BUB1	Bub1	ENSMUSG00000027379	ortholog_one2one
ENSG00000013441.19	CLK1	Clk1	ENSMUSG00000026034	ortholog_one2one
ENSG00000028116.20	VRK2	Vrk2	ENSMUSG00000064090	ortholog_one2one
ENSG00000135828.13	RNASEL	Rnasel	ENSMUSG00000066800	ortholog_one2one
ENSG00000115170.18	ACVR1	Acvr1	ENSMUSG00000026836	ortholog_one2one
ENSG00000162889.13	MAPKAPK2	Mapkapk2	ENSMUSG00000016528	ortholog_one2one
ENSG00000204217.17	BMPR2	Bmpr2	ENSMUSG00000067336	ortholog_one2one
ENSG00000071575.13	TRIB2	Trib2	ENSMUSG00000020601	ortholog_one2one
ENSG00000117650.15	NEK2	Nek2	ENSMUSG00000026622	ortholog_one2one
ENSG00000091436.19	MAP3K20	Map3k20	ENSMUSG00000004085	ortholog_one2one
ENSG00000086015.25	MAST2	Mast2	ENSMUSG00000003810	ortholog_one2one
ENSG00000175087.12	PDIK1L	Pdik1l	ENSMUSG00000050890	ortholog_one2one
ENSG00000196182.13	STK40	Stk40	ENSMUSG00000042608	ortholog_one2one
ENSG00000152332.18	UHMK1	Uhmk1	ENSMUSG00000026667	ortholog_one2one
ENSG00000142875.23	PRKACB	Prkacb	ENSMUSG00000005034	ortholog_one2one
ENSG00000154358.24	OBSCN	Obscn	ENSMUSG00000061462	ortholog_one2one
ENSG00000070759.19	TESK2	Tesk2	ENSMUSG00000033985	ortholog_one2one
ENSG00000163349.23	HIPK1	Hipk1	ENSMUSG00000008730	ortholog_one2one
ENSG00000067606.19	PRKCZ	Prkcz	ENSMUSG00000029053	ortholog_one2one
ENSG00000143479.19	DYRK3	Dyrk3	ENSMUSG00000016526	ortholog_one2one
ENSG00000008128.25	CDK11A	Cdk11b	ENSMUSG00000029062	ortholog_one2many
