gene_id_human	gene_name_human	gene_id_mouse	gene_name_mouse	homology
ENSG00000135828	RNASEL	ENSMUSG00000066800	RNASEL	ortholog_one2one
ENSG00000115170	ACVR1	ENSMUSG00000026836	ACVR1	ortholog_one2one
ENSG00000162889	MAPKAPK2	ENSMUSG00000016528	MAPKAPK2	ortholog_one2one
ENSG00000204217	BMPR2	ENSMUSG00000067336	BMPR2	ortholog_one2one
ENSG00000071575	TRIB2	ENSMUSG00000020601	TRIB2	ortholog_one2one
ENSG00000117650	NEK2	ENSMUSG00000026622	NEK2	ortholog_one2one
ENSG00000091436	MAP3K20	ENSMUSG00000004085	MAP3K20	ortholog_one2one
ENSG00000086015	MAST2	ENSMUSG00000003810	MAST2	ortholog_one2one
ENSG00000175087	PDIK1L	ENSMUSG00000050890	PDIK1L	ortholog_one2one
ENSG00000196182	STK40	ENSMUSG00000042608	STK40	ortholog_one2one
ENSG00000152332	UHMK1	ENSMUSG00000026667	UHMK1	ortholog_one2one
ENSG00000142875	PRKACB	ENSMUSG00000005034	PRKACB	ortholog_one2one
ENSG00000154358	OBSCN	ENSMUSG00000061462	OBSCN	ortholog_one2one
ENSG00000070759	TESK2	ENSMUSG00000033985	TESK2	ortholog_one2one
ENSG00000163349	HIPK1	ENSMUSG00000008730	HIPK1	ortholog_one2one
ENSG00000067606	PRKCZ	ENSMUSG00000029053	PRKCZ	ortholog_one2one
ENSG00000143479	DYRK3	ENSMUSG00000016526	DYRK3	ortholog_one2one
