gene_id_human	gene_id_mouse	gene_name	adrenal_gland_tpm_human	brain_tpm_human	muscle_tpm_human	heart_tpm_human	liver_tpm_human	adrenal_gland_tpm_mouse	brain_tpm_mouse	muscle_tpm_mouse	heart_tpm_mouse	liver_tpm_mouse
ENSG00000145348	ENSMUSG00000028030	TBCK	5.81	17.15	7.0	9.59	3.34	5.92	16.59	4.3	5.16	1.16
ENSG00000145632	ENSMUSG00000021701	PLK2	6.58	38.66	4.88	54.37	9.07	5.62	103.3	1.25	5.67	1.1
ENSG00000145949	ENSMUSG00000044951	MYLK4	0.23	0.68	0.1	0.2	18.7	0.08	0.39	849.82	83.18	0.04
ENSG00000146216	ENSMUSG00000015599	TTBK1	0.31	16.85	0.8	0.13	0.0	0.3	57.21	0.03	0.08	0.02
ENSG00000146872	ENSMUSG00000020694	TLK2	5.8	15.47	4.54	15.39	11.86	14.95	23.38	15.41	12.56	2.54
ENSG00000147044	ENSMUSG00000031012	CASK	5.28	17.34	5.5	5.72	5.88	8.14	50.69	5.51	5.34	1.15
ENSG00000148660	ENSMUSG00000021820	CAMK2G	5.2	60.51	4.42	5.26	27.84	11.95	181.84	77.51	19.24	0.86
ENSG00000149269	ENSMUSG00000030774	PAK1	8.57	104.1	3.51	1.98	11.12	9.78	171.42	11.62	0.61	0.33
ENSG00000149554	ENSMUSG00000032113	CHEK1	0.68	0.92	0.21	0.47	0.23	0.51	0.86	0.08	0.6	0.06
ENSG00000149930	ENSMUSG00000059981	TAOK2	15.95	21.34	8.4	12.73	12.8	20.99	69.73	8.11	14.33	2.35
ENSG00000150457	ENSMUSG00000021959	LATS2	4.97	1.59	4.6	21.7	4.75	11.91	8.91	9.69	12.39	0.93
ENSG00000151292	ENSMUSG00000073563	CSNK1G3	8.08	14.12	6.82	11.29	9.59	7.08	28.25	5.01	5.13	1.92
ENSG00000151414	ENSMUSG00000026393	NEK7	37.04	12.79	8.52	96.45	40.5	13.7	16.95	56.77	30.95	3.42
ENSG00000152332	ENSMUSG00000026667	UHMK1	15.06	18.57	14.22	9.56	32.02	20.97	67.44	7.93	10.28	2.76
ENSG00000152495	ENSMUSG00000038128	CAMK4	2.44	28.75	1.09	0.18	0.11	0.86	73.5	0.05	0.04	0.0
ENSG00000152953	ENSMUSG00000029123	STK32B	0.5	0.56	0.1	0.12	0.0	0.2	1.2	0.04	0.25	0.0
ENSG00000154229	ENSMUSG00000050965	PRKCA	17.83	35.05	8.41	11.0	6.07	3.75	74.6	20.98	14.63	0.47
ENSG00000154237	ENSMUSG00000015133	LRRK1	2.24	7.87	0.91	0.73	0.36	3.81	2.35	1.31	3.86	0.8
ENSG00000154310	ENSMUSG00000027692	TNIK	1.84	27.89	1.58	20.0	2.91	2.41	90.66	11.13	9.19	0.3
ENSG00000154358	ENSMUSG00000061462	OBSCN	1.46	3.35	1.25	255.02	510.68	0.76	2.66	1091.96	303.33	0.09
ENSG00000155111	ENSMUSG00000038481	CDK19	1.85	13.54	2.75	2.23	1.25	1.92	25.13	14.69	3.66	0.47
ENSG00000155657	ENSMUSG00000051747	TTN	4.21	2.64	0.43	2318.26	1880.09	1.72	2.4	4473.0	1074.39	0.53
ENSG00000156345	ENSMUSG00000021483	CDK20	8.44	9.05	1.09	0.54	0.18	1.39	4.72	1.19	1.0	0.43
ENSG00000156711	ENSMUSG00000004864	MAPK13	22.98	6.43	0.77	0.33	0.12	19.87	1.06	0.08	0.03	0.07
ENSG00000156873	ENSMUSG00000030815	PHKG2	8.41	9.98	9.13	5.99	12.36	11.6	34.09	3.31	6.02	2.18
ENSG00000157404	ENSMUSG00000005672	KIT	1.84	6.85	0.09	1.44	1.21	1.2	15.66	0.53	1.14	0.43
ENSG00000157540	ENSMUSG00000022897	DYRK1A	19.68	24.37	8.58	44.38	39.58	19.17	50.75	54.3	26.09	1.32
ENSG00000158828	ENSMUSG00000028756	PINK1	88.06	81.32	35.99	84.88	174.29	60.24	169.69	356.19	290.11	14.58
ENSG00000159792	ENSMUSG00000048310	PSKH1	6.26	4.15	7.23	10.51	1.68	8.06	3.92	6.08	6.29	2.06
ENSG00000159899	ENSMUSG00000028469	NPR2	6.13	6.86	1.33	10.08	7.42	13.26	19.51	13.07	16.0	3.17
ENSG00000160145	ENSMUSG00000061751	KALRN	8.98	85.04	5.58	52.1	10.47	3.24	224.89	8.48	8.56	3.78
ENSG00000160396	ENSMUSG00000040424	HIPK4	0.02	0.0	0.02	0.0	0.0	0.08	0.09	0.0	0.01	0.0
ENSG00000160447	ENSMUSG00000026785	PKN3	0.62	0.88	3.04	1.75	2.13	1.75	2.08	1.21	3.16	0.08
ENSG00000160469	ENSMUSG00000035390	BRSK1	2.52	88.86	0.22	3.83	0.0	1.66	184.78	0.14	0.43	0.01
ENSG00000160551	ENSMUSG00000017291	TAOK1	10.68	36.37	8.3	37.92	12.43	14.88	51.29	20.09	21.76	2.67
ENSG00000160584	ENSMUSG00000034135	SIK3	19.52	44.49	10.77	20.26	17.49	19.76	65.14	15.37	27.34	1.53
ENSG00000160602	ENSMUSG00000017405	NEK8	0.31	0.58	1.27	0.3	3.36	3.99	0.94	0.3	0.7	0.44
ENSG00000162409	ENSMUSG00000028518	PRKAA2	0.34	4.53	0.16	74.47	10.16	2.37	13.27	72.26	33.75	2.31
ENSG00000162526	ENSMUSG00000000411	TSSK3	0.0	1.32	0.64	2.71	0.0	0.0	0.18	0.0	0.0	0.0
ENSG00000162889	ENSMUSG00000016528	MAPKAPK2	18.65	5.71	16.29	101.1	53.44	62.04	12.99	106.51	128.16	3.25
ENSG00000163349	ENSMUSG00000008730	HIPK1	14.28	25.21	10.77	29.61	22.61	38.3	62.06	33.36	35.35	3.17
ENSG00000163482	ENSMUSG00000033276	STK36	4.27	16.51	6.34	3.45	3.76	1.65	1.95	0.17	0.3	0.04
ENSG00000163491	ENSMUSG00000042567	NEK10	0.31	4.17	0.97	4.32	5.3	0.0	1.44	0.01	0.07	0.0
ENSG00000163545	ENSMUSG00000009772	NUAK2	1.13	0.23	0.68	0.33	0.79	2.15	0.37	0.39	1.79	0.52
ENSG00000163558	ENSMUSG00000037643	PRKCI	3.76	9.91	4.01	8.79	4.34	13.39	27.04	0.78	5.07	1.26
ENSG00000163673	ENSMUSG00000032500	DCLK3	0.0	0.6	0.02	0.22	0.21	0.33	23.5	0.18	0.03	1.14
ENSG00000163788	ENSMUSG00000038145	SNRK	7.79	12.07	4.92	14.05	7.6	91.47	49.19	15.35	65.74	7.31
ENSG00000163932	ENSMUSG00000021948	PRKCD	13.06	4.42	1.82	3.57	0.86	38.41	7.6	3.55	4.53	0.83
ENSG00000164076	ENSMUSG00000032936	CAMKV	0.05	59.31	0.05	0.0	0.0	1.32	181.18	0.15	0.0	0.0
ENSG00000164776	ENSMUSG00000025537	PHKG1	1.24	3.09	0.31	8.59	87.07	0.39	9.38	142.55	5.77	0.03
ENSG00000164885	ENSMUSG00000028969	CDK5	5.59	17.41	3.82	4.43	2.69	14.85	60.77	3.86	7.78	1.08
ENSG00000165238	ENSMUSG00000037989	WNK2	0.95	44.69	1.46	80.92	13.19	0.73	57.93	33.84	28.23	0.01
ENSG00000165304	ENSMUSG00000035683	MELK	0.22	0.02	0.09	0.28	0.0	0.09	0.38	0.0	0.12	0.01
ENSG00000165752	ENSMUSG00000015981	STK32C	3.57	17.69	1.31	2.58	3.68	1.01	83.23	0.04	0.37	0.02
ENSG00000166483	ENSMUSG00000031016	WEE1	3.82	0.97	4.62	53.5	2.8	2.28	11.36	0.99	3.69	0.58
ENSG00000166484	ENSMUSG00000001034	MAPK7	8.22	2.75	3.06	4.28	3.64	4.79	9.74	1.92	2.3	0.13
ENSG00000166501	ENSMUSG00000052889	PRKCB	1.03	91.32	1.3	0.38	0.18	5.91	474.5	0.26	1.36	0.4
ENSG00000166851	ENSMUSG00000030867	PLK1	0.89	1.09	0.41	0.46	0.02	0.34	0.85	0.02	0.38	0.08
ENSG00000167258	ENSMUSG00000003119	CDK12	4.74	13.86	10.74	11.18	4.94	12.27	19.56	6.29	7.33	2.12
ENSG00000167524	ENSMUSG00000037593	RSKR	0.68	14.85	1.58	1.0	0.76	0.17	5.5	0.06	0.15	0.02
ENSG00000167657	ENSMUSG00000034974	DAPK3	10.59	18.51	8.1	104.41	55.74	19.83	32.58	12.12	12.04	1.53
ENSG00000168038	ENSMUSG00000040936	ULK4	1.83	3.03	0.93	0.96	1.05	0.7	4.77	0.18	0.09	0.0
ENSG00000168067	ENSMUSG00000024948	MAP4K2	10.89	9.31	2.61	2.69	6.1	9.74	42.94	3.49	12.35	1.39
ENSG00000168078	ENSMUSG00000022033	PBK	0.0	0.0	0.05	0.4	0.0	0.54	0.14	0.0	0.33	0.04
ENSG00000169032	ENSMUSG00000004936	MAP2K1	9.53	40.38	29.32	14.57	20.8	25.48	135.14	25.63	20.86	3.76
ENSG00000169118	ENSMUSG00000032384	CSNK1G1	2.57	7.22	2.45	3.81	10.97	4.27	20.43	3.17	3.41	0.58
ENSG00000169302	ENSMUSG00000039954	STK32A	6.44	3.81	0.09	1.01	0.51	1.97	2.84	0.2	0.14	0.0
ENSG00000169679	ENSMUSG00000027379	BUB1	0.11	0.3	0.35	0.63	0.0	0.11	0.11	0.0	0.09	0.02
ENSG00000169967	ENSMUSG00000024383	MAP3K2	12.23	12.5	19.44	10.27	13.97	5.28	8.9	2.64	3.38	1.83
ENSG00000170145	ENSMUSG00000037112	SIK2	5.95	12.2	9.44	17.68	20.4	61.54	18.94	12.19	11.11	0.94
ENSG00000170312	ENSMUSG00000019942	CDK1	0.73	0.39	0.26	0.55	0.05	0.94	0.58	0.0	0.64	0.53
ENSG00000170390	ENSMUSG00000028078	DCLK2	1.73	23.46	0.27	15.73	0.12	2.02	31.11	0.23	0.4	0.03
ENSG00000171132	ENSMUSG00000045038	PRKCE	1.69	51.94	3.33	7.55	2.73	7.17	124.12	6.01	10.89	0.69
ENSG00000171219	ENSMUSG00000024769	CDC42BPG	1.38	0.06	0.49	0.15	0.08	4.71	2.52	4.76	5.58	0.34
ENSG00000172071	ENSMUSG00000031668	EIF2AK3	4.17	4.56	4.71	10.15	4.76	5.44	12.34	1.42	2.77	0.86
ENSG00000172680	ENSMUSG00000078365	MOS	0.0	0.0	0.0	0.0	0.0	0.06	0.12	0.03	0.0	0.0
ENSG00000172939	ENSMUSG00000036737	OXSR1	5.14	8.51	4.8	18.11	15.64	9.59	16.08	33.21	20.54	1.69
ENSG00000173020	ENSMUSG00000024858	GRK2	12.39	29.74	11.52	19.89	29.53	17.49	91.17	25.92	18.49	1.23
ENSG00000173334	ENSMUSG00000032501	TRIB1	10.06	2.88	11.92	20.24	5.84	7.0	3.67	3.71	5.62	1.23
ENSG00000173517	ENSMUSG00000074305	PEAK1	5.76	22.89	3.51	62.24	8.21	9.7	18.75	5.91	14.16	1.16
ENSG00000173846	ENSMUSG00000028680	PLK3	2.29	2.97	0.9	1.93	0.65	13.19	5.54	0.37	0.58	1.16
ENSG00000174672	ENSMUSG00000053046	BRSK2	0.32	35.54	0.07	0.13	0.0	0.57	91.98	0.07	0.06	0.01
ENSG00000175087	ENSMUSG00000050890	PDIK1L	1.78	4.82	2.49	3.92	2.64	4.37	8.31	1.05	1.93	0.85
ENSG00000175634	ENSMUSG00000024830	RPS6KB2	12.24	5.04	12.51	8.97	30.59	9.43	14.41	11.75	6.9	0.78
ENSG00000176444	ENSMUSG00000068917	CLK2	4.77	8.46	8.97	8.4	2.91	14.16	19.96	5.62	5.76	0.8
ENSG00000176601	ENSMUSG00000051590	MAP3K19	0.0	0.11	0.0	0.0	0.0	0.04	2.78	0.01	0.02	0.0
ENSG00000177169	ENSMUSG00000029512	ULK1	5.81	21.31	16.0	28.68	22.08	12.39	30.66	26.71	26.73	3.15
ENSG00000177189	ENSMUSG00000031309	RPS6KA3	5.91	8.48	14.28	17.11	24.74	21.76	26.54	25.29	17.99	0.74
ENSG00000177453	ENSMUSG00000095930	NIM1K	0.37	7.11	0.2	0.09	0.17	0.39	6.61	0.48	0.58	0.14
ENSG00000178093	ENSMUSG00000047654	TSSK6	0.59	0.33	0.72	0.21	0.0	0.16	0.04	0.0	0.1	0.0
ENSG00000178607	ENSMUSG00000020715	ERN1	10.54	2.06	12.28	3.47	4.0	23.18	4.06	2.84	4.87	1.97
ENSG00000178950	ENSMUSG00000062234	GAK	32.18	27.99	28.67	11.9	18.77	24.42	44.8	3.84	7.34	3.55
ENSG00000178999	ENSMUSG00000020897	AURKB	0.69	0.0	0.27	0.25	0.0	0.45	0.27	0.0	0.59	0.04
ENSG00000179335	ENSMUSG00000032316	CLK3	18.41	15.81	12.85	23.35	18.73	19.89	34.76	25.26	8.58	6.0
ENSG00000180370	ENSMUSG00000022781	PAK2	8.13	10.11	14.85	25.49	21.55	18.51	12.95	5.57	10.9	1.19
ENSG00000180815	ENSMUSG00000031303	MAP3K15	11.18	0.13	0.03	0.0	0.0	0.19	0.6	0.22	0.31	0.04
ENSG00000181085	ENSMUSG00000063704	MAPK15	0.02	0.93	0.06	0.0	0.0	0.29	0.87	0.0	0.0	0.13
ENSG00000182541	ENSMUSG00000020451	LIMK2	5.32	5.0	2.91	3.67	3.76	4.7	44.14	4.49	6.1	0.78
ENSG00000182578	ENSMUSG00000024621	CSF1R	18.73	3.44	6.05	3.2	7.03	14.56	37.6	1.94	15.77	2.48
ENSG00000182580	ENSMUSG00000005958	EPHB3	0.38	1.89	0.26	0.39	0.1	0.31	9.11	0.28	3.35	0.09
ENSG00000183049	ENSMUSG00000039145	CAMK1D	1.72	35.66	3.21	2.05	0.76	2.52	59.63	0.46	1.93	5.17
ENSG00000183421	ENSMUSG00000005251	RIPK4	0.01	0.0	3.27	0.0	0.03	1.1	0.49	0.01	0.04	0.67
ENSG00000183735	ENSMUSG00000020115	TBK1	5.83	7.25	2.94	5.19	8.28	11.47	20.4	4.71	7.43	2.74
ENSG00000183765	ENSMUSG00000029521	CHEK2	2.03	0.22	1.07	1.04	1.63	0.59	0.88	0.32	0.84	0.39
ENSG00000183943	ENSMUSG00000035725	PRKX	0.77	2.81	0.65	0.8	0.7	6.7	4.86	3.2	6.65	0.24
ENSG00000184216	ENSMUSG00000031392	IRAK1	25.51	10.17	23.23	8.92	64.72	36.19	24.99	14.45	22.12	1.84
ENSG00000184304	ENSMUSG00000002688	PRKD1	4.53	5.32	2.51	0.99	0.73	5.83	4.59	0.83	2.62	0.01
ENSG00000184343	ENSMUSG00000002007	SRPK3	0.45	2.28	0.0	21.54	12.53	0.23	3.44	12.56	9.63	0.0
ENSG00000185189	ENSMUSG00000075590	NRBP2	3.82	29.11	37.5	9.19	4.69	19.91	64.01	2.18	6.19	1.2
ENSG00000185324	ENSMUSG00000033862	CDK10	8.75	26.18	27.48	10.21	6.96	15.51	41.62	5.56	7.06	1.97
ENSG00000185386	ENSMUSG00000053137	MAPK11	1.28	17.55	3.27	2.02	1.34	1.2	18.24	0.55	1.07	0.08
ENSG00000185532	ENSMUSG00000052920	PRKG1	5.79	5.63	0.47	13.46	4.96	1.96	7.92	15.33	4.52	0.37
ENSG00000185974	ENSMUSG00000031450	GRK1	0.01	0.19	0.0	0.0	0.0	0.01	0.04	0.0	0.0	0.0
ENSG00000187550	ENSMUSG00000030433	SBK2	0.0	0.0	0.0	0.67	0.6	0.77	0.12	24.81	12.07	0.0
ENSG00000188130	ENSMUSG00000022610	MAPK12	1.31	8.39	1.98	7.14	100.86	3.01	4.43	63.11	9.98	0.26
ENSG00000188322	ENSMUSG00000042978	SBK1	0.49	6.63	0.13	2.46	2.66	14.46	27.03	7.67	29.13	1.46
ENSG00000188906	ENSMUSG00000036273	LRRK2	2.81	7.34	2.8	2.2	3.16	2.43	34.32	2.14	4.16	0.61
ENSG00000196182	ENSMUSG00000042608	STK40	6.18	8.87	12.57	24.16	108.67	24.26	14.69	53.68	21.2	0.71
ENSG00000196335	ENSMUSG00000023403	STK31	0.0	0.62	0.08	0.34	0.0	0.04	0.63	0.01	0.15	0.0
ENSG00000196455	ENSMUSG00000032571	PIK3R4	9.32	11.09	7.89	10.5	6.38	8.33	20.12	4.24	7.24	1.53
ENSG00000196632	ENSMUSG00000041245	WNK3	4.96	3.73	5.43	0.14	0.01	0.39	21.99	1.51	0.03	0.0
ENSG00000196730	ENSMUSG00000021559	DAPK1	3.39	35.92	23.06	1.06	0.69	7.02	39.49	0.82	12.16	2.5
ENSG00000197168	ENSMUSG00000037738	NEK5	0.0	0.45	0.02	0.12	0.0	2.02	0.05	0.28	0.0	0.03
ENSG00000197442	ENSMUSG00000071369	MAP3K5	54.7	11.09	2.5	14.17	1.87	6.41	22.42	2.63	13.72	2.76
ENSG00000198055	ENSMUSG00000074886	GRK6	5.68	7.89	3.9	8.66	13.9	8.46	27.55	3.85	5.62	0.95
ENSG00000198208	ENSMUSG00000019235	RPS6KL1	0.7	13.99	1.82	12.71	14.19	0.41	16.89	0.19	0.86	0.03
ENSG00000198355	ENSMUSG00000035828	PIM3	16.2	6.26	14.64	18.33	134.87	26.48	16.9	8.05	39.44	7.41
ENSG00000198586	ENSMUSG00000041997	TLK1	6.56	23.98	14.2	13.94	4.78	11.75	43.36	16.79	10.87	2.32
ENSG00000198648	ENSMUSG00000027030	STK39	1.27	19.04	0.2	16.73	0.9	15.03	44.16	0.84	39.14	0.18
ENSG00000198752	ENSMUSG00000021279	CDC42BPB	18.04	35.36	17.87	28.64	13.18	35.45	68.76	6.58	21.25	2.11
ENSG00000198870	ENSMUSG00000049897	STKLD1	0.17	1.47	0.33	0.12	0.0	0.06	0.35	0.02	0.02	0.01
ENSG00000198873	ENSMUSG00000003228	GRK5	6.02	4.15	3.33	5.56	5.17	14.74	7.16	1.02	11.42	0.24
ENSG00000198909	ENSMUSG00000020700	MAP3K3	8.98	8.7	4.62	32.44	9.02	10.72	14.59	10.28	14.11	1.33
ENSG00000204217	ENSMUSG00000067336	BMPR2	17.64	29.93	5.97	37.17	8.37	13.68	45.06	26.12	16.01	1.76
ENSG00000205111	ENSMUSG00000033966	CDKL4	0.39	0.24	0.0	0.04	0.0	0.03	8.26	0.04	0.01	0.01
ENSG00000206203	ENSMUSG00000045521	TSSK2	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.03	0.0
ENSG00000211455	ENSMUSG00000001630	STK38L	5.82	11.69	3.07	64.61	5.74	6.35	10.76	4.48	5.51	1.13
ENSG00000213341	ENSMUSG00000025199	CHUK	5.05	3.0	3.72	4.74	12.96	13.9	20.24	7.57	10.38	13.97
ENSG00000213923	ENSMUSG00000022433	CSNK1E	14.27	46.22	11.67	37.61	17.78	25.2	74.38	22.38	17.86	0.47
ENSG00000214102	ENSMUSG00000037159	WEE2	0.02	0.08	0.0	0.01	0.0	0.0	0.08	0.0	0.0	0.0
ENSG00000231274	ENSMUSG00000085272	SBK3	0.0	0.0	0.02	1.31	3.02	0.07	0.51	0.45	15.7	0.0
ENSG00000250506	ENSMUSG00000092300	CDK3	0.04	0.42	1.45	0.68	0.0	0.57	1.26	0.17	0.06	0.02
ENSG00000263528	ENSMUSG00000042349	IKBKE	1.36	0.67	0.5	0.39	0.11	5.03	0.58	0.17	0.59	1.69
ENSG00000266173	ENSMUSG00000069631	STRADA	6.31	19.44	5.32	7.52	2.97	4.09	13.33	6.07	2.51	0.19
